sentence,label
"a much more successful translation than its most famous previous film adaptation , writer-director anthony friedman 's similarly updated 1970 british production .",1
"a captivatingly quirky hybrid of character portrait , romantic comedy and beat-the-clock thriller",1
wrapping the theater in a cold blanket of urban desperation,0
"is a remake by the numbers , linking a halfwit plot to a series of standup routines in which wilson and murphy show how funny they could have been in a more ambitious movie",0
uncharismatically,0
"( soderbergh ) tends to place most of the psychological and philosophical material in italics rather than trust an audience 's intelligence , and",0
when a movie asks you to feel sorry for mick jagger 's sex life,0
a few zingers aside,1
's crap on a leash -- far too polite to scale the lunatic heights of joe dante 's similarly styled gremlins .,0
as only a document of the worst possibilities of mankind can be,0
"is much too conventional -- lots of boring talking heads , etc. -- to do the subject matter justice",0
bogged down in earnest dramaturgy,0
this is a remarkably accessible and haunting film .,1
's probably worth catching solely on its visual merits,1
"scotland looks wonderful , the fans are often funny fanatics ,",1
the cadence of a depressed fifteen-year-old 's suicidal poetry,0
"hart 's war seems to want to be a character study , but apparently ca n't quite decide which character .",0
", this is likely to cause massive cardiac arrest if taken in large doses .",0
clear-eyed portrait,1
"as good as the full monty , but a really strong second effort .",1
an elegant visual sense and a talent,1
is one of those rare pictures,1
"does n't get the job done , running off the limited chemistry created by ralph fiennes and jennifer lopez .",0
a smart and funny,1
of those movies that catches you up in something bigger than yourself,1
adrenalized,1
derailed,0
"i was trying to decide what annoyed me most about god is great ... i 'm not , and then i realized that i just did n't care",0
passionate enthusiasms like martin scorsese,1
aimed mainly at little kids but with plenty of entertainment value,1
the original was n't a good movie but,0
a monster movie,1
deeply unsettling experience,0
it 's a visual rorschach test and i must have failed .,0
feel-good sentiments,1
laugh because he acts so goofy all the time,1
better drama,1
will have fun with,1
is bright and flashy in all the right ways,1
story for those intolerant of the more common saccharine genre,0
genuine laughs,1
"is a big , juicy role",1
"its willingness to explore its principal characters with honesty , insight and humor",1
the film special,1
mixed results,0
used soap,0
like an extreme action-packed film,1
will anyone who is n't a fangoria subscriber be excited that it has n't gone straight to video ?,0
"casts its spooky net out into the atlantic ocean and spits it back ,",1
here the love scenes all end in someone screaming .,0
the proceedings more bizarre than actually amusing,0
", it succeeds .",1
big fat pain .,0
hossein,1
"great fun , full of the kind of energy it 's documenting",1
's a part of us that can not help be entertained by the sight of someone getting away with something .,1
an engrossing portrait of uncompromising artists trying to create something original against the backdrop of a corporate music industry that only seems to care about the bottom line .,1
best performance,1
will enjoy .,1
loses all,0
the 3-d vistas from orbit,1
masters of both,1
"songs from the second floor has all the enjoyable randomness of a very lively dream and so manages to be compelling , amusing and unsettling at the same time .",1
is that it avoids the obvious with humor and lightness .,1
rip-roaring,1
"give a spark to `` chasing amy '' and `` changing lanes '' falls flat as thinking man cia agent jack ryan in this summer 's new action film , ``",0
through vulgarities in a sequel you can refuse,0
"unlikable , uninteresting ,",0
"none are useful in telling the story , which is paper-thin and decidedly unoriginal",0
"it 's excessively quirky and a little underconfident in its delivery , but",0
embellished by editing,1
"a must for fans of british cinema , if only because so many titans of the industry are along for the ride .",1
hitting your head,0
monumental,1
poignant japanese epic about adolescent anomie and heartbreak .,1
is violated,0
to a mood that 's sustained through the surprisingly somber conclusion,1
's soulful and unslick,0
the movie bogs down in rhetoric and clich .,0
equally derisive,0
as tryingly as the title,0
who handily makes the move from pleasing,1
's never too late to believe in your dreams .,1
"holmes has the screen presence to become a major-league leading lady , ( but )",1
could as easily have been called ` under siege 3 : in alcatraz ' ... a cinematic corpse that never springs to life .,0
this rush to profits,0
"visit , this laboratory of laughter",1
the absolute last thing we need hollywood doing to us,0
"transported into the life of wladyslaw szpilman , who is not only a pianist , but a good human being",1
"be ( assayas ' ) homage to the gallic ` tradition of quality ,",1
deft and subtle poetry,1
"a terrible movie , just",0
"every moment crackles with tension , and",1
is hindered by uneven dialogue and plot lapses,0
"is meaningless , vapid and devoid of substance",0
is n't really one of resources,0
worthwhile effort,1
much ado about something is an amicable endeavor .,1
"parents may even find that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults .",1
narrative discipline,1
of epic adventure,1
skit-com material fervently deposited on the big screen .,0
of the elements that will grab you,1
does so with an artistry that also smacks of revelation,1
worked against the maker 's minimalist intent,0
i think even fans of sandler 's comic taste may find it uninteresting,0
it were any more of a turkey,0
cinematic disaster,0
traditional romantic,1
is a more fascinating look at the future than `` bladerunner '' and one of the most high-concept sci fi adventures attempted for the screen,1
"because , unlike so many other hollywood movies of its ilk , it offers hope",1
of a particularly nightmarish fairytale,0
"few films have captured the chaos of an urban conflagration with such fury , and",1
has only a fleeting grasp of how to develop them,0
", it 's too long and unfocused .",0
so larger than life and,1
do a homage,1
complications,0
markedly inactive,0
"caruso takes an atypically hypnotic approach to a world that 's often handled in fast-edit , hopped-up fashion",1
energy and imagination,1
becomes unwatchable,0
"despite the film 's bizarre developments , hoffman keeps us riveted with every painful nuance , unexpected flashes of dark comedy and the character 's gripping humanity .",1
"engages us in constant fits of laughter , until we find ourselves surprised at how much we care about the story , and end up walking out not only satisfied but also somewhat touched",1
new testament stories,1
a movie that ends up slapping its target audience in the face by shooting itself in the foot,0
watch for about thirty seconds before you say to yourself,0
suspect that you 'll be as bored watching morvern callar as the characters are in it .,0
"beautiful , angry and sad",1
"i had a dream that a smart comedy would come along to rescue me from a summer of teen-driven , toilet-humor codswallop , and its name was earnest .",1
hypertime in reverse,0
the world 's most generic rock star,0
which never reach satisfying conclusions,0
the storyline and its underlying themes ... finally seem so impersonal or even shallow,0
a fun ride .,1
because the movie is ugly to look at and not a hollywood product,0
their charisma,1
connection or identification frustratingly,0
does n't work .,0
to cram earplugs,0
"horrible , 99-minute",0
embraces life in public,1
sweeping battle scenes,1
"a badly edited , 91-minute trailer ( and )",0
"some people march to the beat of a different drum , and if you ever wondered what kind of houses those people live in , this documentary takes a look at 5 alternative housing options .",1
so devoid,0
"it 's the type of film about growing up that we do n't see often enough these days : realistic , urgent , and not sugarcoated in the least .",1
technical triumph,1
an equally impressive degree,1
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .",1
"is straight from the saturday morning cartoons -- a retread story , bad writing , and the same old silliness",0
degrading and strangely liberating,1
that grips and holds you in rapt attention from,1
it 's pretentious in a way that verges on the amateurish .,0
"warmth to go around , with music and laughter and the love of family",1
of abuse,0
another remarkable yet shockingly little-known perspective,1
"unfocused , excruciatingly tedious cinema",0
is too busy hitting all of its assigned marks to take on any life of its own,0
found myself growing more and more frustrated and detached as vincent became more and more abhorrent .,0
's black hawk down with more heart .,1
the whole dead-undead genre,0
's so muddled and derivative that few will bother thinking it all through,0
toilet humor,0
consistently intelligent,1
"mr. caine and mr. fraser are the whole show here , with their memorable and resourceful performances .",1
some of the most inventive silliness you are likely to witness in a movie theater for some time .,1
goddammit,0
"faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance .",0
godard can still be smarter than any 50 other filmmakers still at work .,1
us care about this latest reincarnation of the world 's greatest teacher,1
such life-embracing spirit,1
incessant,0
meandering and pointless,0
get popcorn whenever he 's not onscreen,0
in the rush of slapstick thoroughfare,0
banged their brains into the ground so frequently,0
a movie that harps on media-constructed ` issues ',0
"and the reason for that is a self-aware , often self-mocking , intelligence .",1
of dreck,0
the film is superficial and will probably be of interest primarily to its target audience,0
a fleet-footed and pleasingly upbeat family diversion .,1
just enough insight to keep it from being simpleminded,1
a high-minded snoozer .,0
"this is not a classical dramatic animated feature , nor a hip , contemporary , in-jokey one .",0
", really , really good things can come in enormous packages",1
is deadly dull,0
this waste of time,0
way too full of itself,0
lost in the murk of its own making,0
"charming , funny and beautifully",1
one of those all-star reunions,1
cross between xxx and vertical limit .,1
"guess a space station in the year 2455 can be crossed off the list of ideas for the inevitable future sequels ( hey , do n't shoot the messenger ) .",0
jay russell,0
"interminably bleak , to say nothing of boring .",0
`` superior '',1
like horrible poetry,0
everything seem self-consciously poetic and forced,0
liked by the people who can still give him work,1
it 's a spirited film and a must-see,1
"is like reading a research paper ,",0
harps on media-constructed ` issues ',0
offers a compelling investigation of faith versus intellect,1
"a head-turner -- thoughtfully written ,",1
that resonate with profundity,1
a long patch of black ice,0
deliciously nonsensical comedy,1
because it has a bigger-name cast,1
at its cluelessness,0
"preposterous , prurient",0
are dampened by a lackluster script and substandard performances,0
moral favorite,1
appropriate comic buttons,1
"'s clear why deuces wild , which was shot two years ago , has been gathering dust on mgm 's shelf",0
"is a smart , romantic drama that dares to depict the french revolution from the aristocrats ' perspective .",1
thriller as lazy,0
the film has a terrific look,1
a waste,0
a good-natured ensemble comedy that tries hard to make the most of a bumper,1
' it also rocks .,1
of continuity errors,0
its nauseating spinning credits sequence,0
fails on its own,0
floundering way,0
cranked out on an assembly line,0
such a bad movie that its luckiest viewers will be seated next to one of those ignorant pinheads who talk throughout the show .,0
that a subject as monstrous and pathetic as dahmer,0
flick that scalds like acid,0
a few are sexy,1
fax,1
even if the top-billed willis is not the most impressive player,1
with depth,1
something that is so meditative and lyrical about babak payami 's boldly quirky iranian drama secret ballot ... a charming and evoking little ditty that manages to show the gentle and humane side of middle eastern world politics,1
actor raymond j. barry is perfectly creepy and believable .,1
"'s muy loco , but no more ridiculous than most of the rest of `` dragonfly .",0
"to being lectured to by tech-geeks , if you 're up for that sort of thing",0
"sillier , cuter , and shorter than the first ( as best i remember ) , but still a very good time at the cinema .",1
a strict reality,1
is a filmmaker of impressive talent,1
be as bored watching morvern callar as the characters are in it,0
"soderbergh 's best films , `` erin brockovich , '' `` out of sight '' and",1
remarkable and memorable,1
startling story,1
's just too dry and too placid,0
", the characters in swimfan seem motivated by nothing short of dull , brain-deadening hangover .",0
-- even more damning --,0
deceptively amusing,1
the mainstream of filmmaking with an assurance worthy of international acclaim,1
this gentle comedy,1
the feeble examples,0
which director shekhar kapur supplies with tremendous skill,1
shockingly bad,0
"eloquent , deeply felt meditation",1
impressed by how many tit-for-tat retaliatory responses the filmmakers allow before pulling the plug on the conspirators and averting an american-russian armageddon,1
like e.t. the first time i saw it as a young boy,1
struck me as unusually and unimpressively fussy and,0
"earnest , unsubtle and hollywood-predictable",0
is tenderly observant of his characters .,1
"hollow , self-indulgent , and - worst of all -",0
"their lack of chemistry makes eddie murphy and robert deniro in showtime look like old , familiar vaudeville partners",0
appear foolish and shallow,0
"despite its hawaiian setting , the science-fiction trimmings and some moments of rowdy slapstick , the basic plot of `` lilo '' could have been pulled from a tear-stained vintage shirley temple script .",0
convincingly paints a specifically urban sense of disassociation here .,1
a well-put-together piece of urban satire,1
a nifty plot line in steven soderbergh 's traffic fails to arrive at any satisfying destination,0
"looked like crap , so crap is what i was expecting .",0
will have you talking 'til the end of the year !,1
"though lan yu lacks a sense of dramatic urgency , the film makes up for it with a pleasing verisimilitude .",1
the dark,0
so poorly plotted and scripted .,0
some episodes that rival vintage looney tunes for the most creative mayhem in a brief amount of time,1
"an important movie , or even",1
to provoke them,1
plays like a student film,0
might as well be watching a rerun,0
the script is too mainstream and the psychology too textbook to intrigue,0
is that there is nothing in it to engage children emotionally,0
you 'd swear you,1
deft,1
whipping,0
authentic to the core of his being,1
"the film succeeds with its dark , delicate treatment of these characters and its unerring respect for them .",1
rambles aimlessly,0
"is a canny crowd pleaser , and the last kiss ... provides more than enough sentimental catharsis for a satisfying evening at the multiplex",1
is a winner .,1
ends with scenes so true and heartbreaking,1
offers a persuasive look at a defeated but defiant nation in flux .,1
when poor hermocrates and leontine pathetically compare notes about their budding amours,0
that leaves vague impressions and a nasty aftertaste but little clear memory of its operational mechanics,0
a performance that is masterly,1
boiling point,0
"offers big , fat , dumb",0
the home alone formula,1
manages to string together enough charming moments to work .,1
finds a way to make j.k. rowling 's marvelous series into a deadly bore .,0
to keep it interested,1
lacks in action,0
casting mick jagger as director of the escort service was inspired,1
a key strength,1
the final effect is like having two guys yelling in your face for two hours .,0
and inventive moments,1
superficial .,0
for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance,0
"while the film is competent , it 's also uninspired , lacking the real talent and wit to elevate it beyond its formula to the level of classic romantic comedy to which it aspires .",0
"recommended -- as visually bland as a dentist 's waiting room , complete with soothing muzak and",0
"its unforced comedy-drama and its relaxed , natural-seeming actors",1
funniest jokes,1
sultry,1
really gives the film its oomph,1
to pump life into overworked elements from eastwood 's dirty harry period,0
sharply,1
"with guns , expensive cars , lots of naked women and rocawear clothing",1
seem self-consciously poetic and,1
a funny yet dark,1
lousy tarantino imitations,0
"efficient ,",1
believe that people have lost the ability to think and,0
is at once a tough pill to swallow and a minor miracle of self-expression .,1
's a clarity of purpose and even-handedness,1
"gone , replaced by the forced funniness found in the dullest kiddie flicks",0
no surprises .,0
"involving aragorn 's dreams of arwen , this is even better than the fellowship .",1
greatest teacher,1
going to be really awful,0
achieves its emotional power and moments of revelation with restraint and a delicate ambiguity,1
"the art direction is often exquisite , and",1
quaid who anchors the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer,1
it 's better than one might expect when you look at the list of movies starring ice-t in a major role .,1
promises is a compelling piece that demonstrates just how well children can be trained to live out and carry on their parents ' anguish .,1
some dramatic scenes that are jarring and deeply out of place in what could have ( and probably should have ) been a lighthearted comedy,0
can take credit for most of the movie 's success .,1
appears as if even the filmmakers did n't know what kind of movie they were making,0
of a brutally honest individual like prophet jack,1
unfocused,0
but oddly compelling,1
to be the movie 's most admirable quality,1
"it 's a setup so easy it borders on facile , but keeping the film from cheap-shot mediocrity is its crack cast .",1
"of its spry 2001 predecessor -- but it 's a rushed , slapdash , sequel-for-the-sake - of-a-sequel with less than half the plot and ingenuity",0
stooping,0
into the art film pantheon,1
worst movie,0
`` solaris '' is a shapeless inconsequential move relying on the viewer to do most of the work .,0
"amused and entertained by the unfolding of bielinsky 's cleverly constructed scenario ,",1
times a bit melodramatic and even a little dated,0
a snore,0
90 punitive minutes,0
their contrast is neither dramatic nor comic -- it 's just a weird fizzle,0
leave feeling like you 've endured a long workout without your pulse ever racing .,0
a frustrating ` tweener ',0
"the movie has a script ( by paul pender ) made of wood , and it 's relentlessly folksy , a procession of stagy set pieces stacked with binary oppositions .",0
"is a self-aware , often self-mocking , intelligence .",1
going for it other than its exploitive array of obligatory cheap,0
fine music,1
skims over the realities of gay sex,0
its excellent use,1
"evelyn may be based on a true and historically significant story , but the filmmakers have made every effort to disguise it as an unimaginative screenwriter 's invention .",0
a neat trick,1
dog soldiers does n't transcend genre,0
with considerable appeal,1
"an all-inclusive world where uptight , middle class bores like antonia can feel good about themselves",0
effecting,1
"is how a rich historical subject , combined with so much first-rate talent ... could have yielded such a flat , plodding picture .",0
"captures , in luminous interviews and amazingly evocative film from three decades ago , the essence of the dogtown experience",1
"there 's back-stabbing , inter-racial desire and , most importantly , singing and dancing .",1
far more meaningful story,1
ca n't deny its seriousness and quality,1
beautifully,1
the hackneyed story about an affluent damsel in distress who decides to fight her bully of a husband is simply too overdone .,0
jaw-droppingly superficial,0
demonstrate that his pathology evolved from human impulses that grew hideously twisted,0
of breathtaking mystery,1
"undercuts the joie de vivre even as he creates it , giving the movie a mournful undercurrent that places the good-time shenanigans in welcome perspective",1
engrossing story,1
"a pleasant distraction , a friday night diversion",1
bledel,1
their consistently sensitive and often exciting treatment of an ignored people,1
how,1
leave it,0
", if good-hearted , movie .",1
added disdain,0
be careful what you wish for,0
"makes this man so watchable is a tribute not only to his craft , but to his legend .",1
i did n't find much fascination in the swinging .,0
the movie does n't generate a lot of energy .,0
fake backdrops,0
doing something of a public service -- shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans,1
pure disney,1
", '' derrida is an undeniably fascinating and playful fellow .",1
camouflaging grotesque narcissism,0
i would leave the theater with a lower i.q. than when i had entered,0
light treat,1
"the three leads produce adequate performances , but what 's missing from this material is any depth of feeling .",0
it 's a work of enthralling drama,1
about whose fate it is hard to care,0
captures a life interestingly lived,1
a comedy,1
"half the excitement of balto ,",0
"an eloquent , reflective and beautifully",1
"the whole thing feels like a ruse , a tactic to cover up the fact that the picture is constructed around a core of flimsy -- or , worse yet , nonexistent -- ideas .",0
than indecent proposal,1
of high humidity,1
"gaghan captures the half-lit , sometimes creepy intimacy of college dorm rooms , a subtlety that makes the silly , over-the-top coda especially disappointing .",0
thrills and extreme,1
"director jay russell stomps in hobnail boots over natalie babbitt 's gentle , endearing 1975 children 's novel .",0
about existential suffering,0
"enters a realm where few non-porn films venture , and comes across as darkly funny , energetic , and surprisingly gentle",1
"like a temperamental child begging for attention , giving audiences no reason to truly care for its decrepit freaks beyond the promise of a reprieve from their incessant whining .",0
poor fit,0
unfortunately,0
"through , however , having sucked dry the undead action flick formula , blade ii mutates into a gross-out monster movie with effects that are more silly than scary .",0
few things more frustrating to a film buff than seeing an otherwise good movie marred beyond redemption by a disastrous ending,0
it has definite weaknesses,0
"its leaden acting , dull exposition and telegraphed ` surprises",0
successful example,1
groan and,1
absorbing look,1
almost unbearably morbid,0
"than recommended -- as visually bland as a dentist 's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms",1
nails hard,1
get lost in the murk of its own making,0
utterly transcend gender,1
"explode obnoxiously into 2,500 screens",0
offering fine acting moments and,1
better script,1
the self-destructiveness,0
would go back and choose to skip it .,0
of faith,1
a triumph of pure craft and passionate heart .,1
i 'd much rather watch teens poking their genitals into fruit pies,0
"payne has created a beautiful canvas , and",1
rotoscope animation for no apparent reason except,0
a little bit of romance and a dose,1
a tough pill to swallow,0
is bright and flashy,1
"a guilty-pleasure , daytime-drama sort",1
heartfelt romance,1
drags it,0
existential suffering,0
", is funny and looks professional .",1
"engages us in constant fits of laughter , until we find ourselves surprised at how much we care about the story",1
especially charm,1
"attempts to fashion a brazil-like , hyper-real satire",0
"i liked the original short story but this movie , even at an hour and twenty-some minutes , it 's too long and it goes nowhere",0
are littered with trenchant satirical jabs at the peculiar egocentricities of the acting breed,0
we have given up to acquire the fast-paced contemporary society,1
bolster director and co-writer,1
such a big job,1
're looking for an intelligent movie in which you can release your pent up anger,1
"do all three quite well , making it one of the year 's most enjoyable releases",1
"elusive , yet inexplicably",1
"figures prominently in this movie , and",1
"strives to be more , but does n't quite get there .",0
"there is a certain sense of experimentation and improvisation to this film that may not always work ,",0
75 wasted minutes of sandler as the voice-over hero in columbia pictures ' perverse idea of an animated holiday movie,0
meandering and confusing,0
is amiss in the world .,0
bracing truth,1
female population,0
"a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .",0
"laugh-out-loud lines , adorably ditsy but heartfelt performances , and sparkling ,",1
at times a bit melodramatic and even a little dated ( depending upon where you live ),0
timeless,1
flick that scalds like acid .,0
the mothman prophecies is best when illustrating the demons bedevilling the modern masculine journey .,1
silly rather than plausible,0
jerking off in all its byzantine incarnations to bother pleasuring its audience,0
is a lumbering load of hokum but,0
questions cinema 's capability for recording truth .,0
engross even,1
rather beautiful,1
(,0
ought to be a whole lot scarier than they are in this tepid genre offering .,0
well-written television series where you 've missed the first half-dozen episodes and probably wo n't see the next six .,0
this movie 's lack of ideas,0
for finding meaning in relationships or work,1
gaudy hawaiian shirt,0
noble end,0
margarita happy hour,1
resonant film since the killer,1
an invaluable service,1
romp of a film .,1
each moment of this broken character study is rich in emotional texture,1
as unusually and unimpressively fussy,0
appreciate the wonderful cinematography and naturalistic acting,1
to nail the spirit-crushing ennui of denuded urban living without giving in to it,1
you 've got a huge mess,0
clinch him this year 's razzie,0
"belongs to the marvelous verdu , a sexy slip of an earth mother who mourns her tragedies in private and embraces life in public",1
unemployment,0
chimes in on the grieving process and strangely draws the audience into the unexplainable pain and eccentricities that are attached to the concept of loss .,1
left me behind at the station looking for a return ticket to realism,0
easily forgotten,0
"it 's funny and human and really pretty damned wonderful , all at once .",1
horribly depressing and not very well done,0
great performances,1
"is a finely written , superbly acted offbeat thriller .",1
an utterly incompetent conclusion,0
intricately structured and well-realized drama,1
more balanced or fair portrayal,1
expected,0
shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans,1
slap her - she 's not funny,0
shindler,1
she may not be real,0
"the necessary self-control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy",0
-- and not in a good way,0
engaging charisma,1
bracingly truthful,1
ca n't recommend it enough .,1
in future years as an eloquent memorial,1
best enjoyed as a work of fiction inspired by real-life events .,1
"beautiful , entertaining two hours",1
"it 's an ambitious film , and as with all ambitious films , it has some problems .",1
more holes,0
the worst movie i 've seen this summer,0
to drown yourself in a lake afterwards,0
will find little new here,0
inappropriate and wildly undeserved,0
motionless characters,0
`` serious issues '',0
their place in the world,1
it ca n't be dismissed as mindless,1
"well-acted , well-directed and , for all its moodiness , not too pretentious .",1
has humor and heart and very talented young actors,1
that was followed by the bad idea,0
more damning,1
misogynist evil,0
are typical sandler fare,0
to make a film in which someone has to be hired to portray richard dawson,0
genuinely good,1
"a treat -- a delightful , witty , improbable romantic comedy with a zippy jazzy score",1
always hilarious meara,1
that is masterly,1
the film itself is small and shriveled,0
a pact to burn the negative and the script and pretend the whole thing never existed,0
"wonderful , ghastly film",1
than sucking you in ... and making you sweat,1
an inferior level,0
", derrida is all but useless",0
"a coming-of-age story with such a buoyant , expressive flow of images",1
nalin,1
through balzac and the little chinese seamstress that transforms this story about love and culture into a cinematic poem,1
"love , history , memory , resistance and artistic transcendence",1
looks and feels like a low-budget hybrid of scarface or carlito 's way .,0
a terrific date movie,1
", even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything",0
"he seems to want both , but succeeds in making neither .",0
"treats his audience the same way that jim brown treats his women -- as dumb , credulous , unassuming , subordinate subjects",0
"that it can only encourage us to see samira makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous success",1
"nuanced a robert de niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` analyze this ' ( 1999 ) and ` analyze that , ' promised ( or threatened ) for later this year",0
entry number twenty the worst of the brosnan bunch,0
"sluggish , tonally uneven .",0
a visionary,1
is surprisingly brilliant,1
the film is full of charm .,1
a disappointingly thin slice of lower-class london life ; despite the title,0
if you can swallow its absurdities and crudities,0
an intimate contemplation of two marvelously,1
have ransacked every old world war ii movie for overly familiar material,0
half-baked setups,0
his inescapable past and uncertain future in a very shapable but largely unfulfilling present,0
is nothing but a convenient conveyor belt of brooding personalities that parade about as if they were coming back from stock character camp -- a drowsy drama infatuated by its own pretentious self-examination,0
is like having two guys yelling in your face for two hours,0
the ya-ya sisterhood,1
a guiltless film,1
fatal,0
'd need a shower,0
nothing in the movie makes a convincing case that one woman 's broken heart outweighs all the loss we witness,0
"things really get weird , though not particularly scary :",0
what could have,0
"a dull , dumb and derivative horror",0
"unlikable , uninteresting , unfunny",0
"by then , your senses are as mushy as peas",1
fights the good fight in vietnam in director randall wallace 's flag-waving war flick with a core of decency,1
eerily accurate depiction of depression .,0
offering next to little insight into its intriguing subject,0
"is without doubt an artist of uncompromising vision , but that vision is beginning to feel , if not morally bankrupt , at least terribly monotonous .",0
"the film 's gamble to occasionally break up the live-action scenes with animated sequences pays off , as does its sensitive handling of some delicate subject matter .",1
each other against all odds,1
the characters have a freshness and modesty that transcends their predicament .,1
uncanny skill in getting under the skin of her characters,1
"is little more than home alone raised to a new , self-deprecating level .",0
worthy entry,1
a matinee price,1
a sentimental but entirely irresistible portrait of three aging sisters .,1
despite the surface attractions -- conrad l. hall 's cinematography will likely be nominated for an oscar next year -- there 's something impressive and yet lacking about everything .,1
add up to a satisfying crime drama,1
this ludicrous film is predictable at every turn .,0
", it 's just as wonderful on the big screen .",1
"like the original , this version is raised a few notches above kiddie fantasy pablum by allen 's astringent wit .",1
"you feel good , you feel sad , you feel pissed off , but in the end , you feel alive - which is what they did",1
unwieldy cast,0
terribly obvious,0
him to churn out one mediocre movie after another,0
brilliant movie,1
attal pushes too hard to make this a comedy or serious drama .,0
cinematic intoxication,1
's nothing more satisfying during a summer of event movies than a spy thriller like the bourne identity that 's packed with just as much intelligence as action,1
"the new insomnia is a surprisingly faithful remake of its chilly predecessor , and when it does elect to head off in its own direction , it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities",1
"to imagine any recent film , independent or otherwise , that makes as much of a mess as this one",0
"this rather unfocused , all-over-the-map movie would be a lot better if it pared down its plots and characters to a few rather than dozens ... or if it were subtler ... or if it had a sense of humor .",0
his flick-knife diction in the role of roger swanson,1
's too long,0
transcends,1
"the filmmaker 's extraordinary access to massoud ,",1
"be ( assayas ' ) homage to the gallic ` tradition of quality , ' in all its fusty squareness",1
faithful to melville 's plotline,1
old-hat,0
built for controversy .,0
interesting bit,1
its originality,1
", decisive moments",1
jar-jar binks : the movie,0
of filmmaking with an assurance worthy of international acclaim,1
mark ms. bullock 's best work in some time,1
meyjes ' provocative film might be called an example of the haphazardness of evil .,1
appeared in 1938,1
the speculative effort is hampered by taylor 's cartoonish performance and the film 's ill-considered notion that hitler 's destiny was shaped by the most random of chances,0
"has little insight into the historical period and its artists ,",0
is wickedly fun to watch,1
foul up shum 's good intentions .,0
has thankfully ditched the saccharine sentimentality of bicentennial man in favor of an altogether darker side,1
the inherent limitations of using a video game as the source material movie are once again made all too clear in this schlocky horror/action hybrid .,0
", i 'm going to recommend secretary , based on the wonderful acting clinic put on by spader and gyllenhaal",1
simply not funny performers,0
unamusing,0
the lousy john q all but spits out denzel washington 's fine performance in the title role .,0
insanely violent,0
a sleep-inducingly slow-paced crime drama,0
"in between all the emotional seesawing , it 's hard to figure the depth of these two literary figures , and even the times in which they lived .",0
"filled with fantasies , daydreams , memories and one fantastic visual trope",1
badly made on every level,0
images even more haunting than those in mr. spielberg 's 1993 classic,1
personal tragedy and also the human comedy,1
keep it entertaining,1
"confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve .",0
a delightful entree in the tradition of food movies .,1
arrogant,0
magnificent jackie chan,1
"incessantly to old movies , when you could just rent those movies instead , let alone seek out a respectable new one",0
"perceptive , good-natured",1
felt performances across the board .,1
vile,0
wears out,0
an artist who is simply tired --,0
using them as punching bags,0
"ineffable , elusive , yet inexplicably powerful",1
pretends to be passionate and truthful,0
astounding,1
straight-to-video movie,0
the lively appeal,1
an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair,1
does have its charms .,1
spiffy bluescreen technique,1
"unlike most animaton from japan , the characters move with grace and panache",1
"enough said , except : film overboard !",0
", wendigo , larry fessenden 's spooky new thriller , is a refreshingly smart and newfangled variation on several themes derived from far less sophisticated and knowing horror films .",1
too harsh,0
"mainstream audiences will find little of interest in this film , which is often preachy and poorly acted .",0
"an engaging storyline ,",1
enjoying the big-screen experience,1
"has little to do with the story ,",0
two of those well spent,1
"with seriously dumb characters , which somewhat dilutes the pleasure of watching them",0
fascinating they may be as history,1
is so bad it does n't improve upon the experience of staring at a blank screen,0
a lackluster script,0
"as morose as teen pregnancy , rape and suspected murder",0
the movie keeps coming back to the achingly unfunny phonce and his several silly subplots .,0
sophisticated performance,1
something creepy about this movie,0
dover kosashvili 's outstanding feature debut so potent,1
to sustain a laugh,1
' hanging over the film,0
pinheads who talk throughout the show,0
are once again made all too clear in this schlocky horror/action hybrid,0
"it will just as likely make you weep ,",1
its first-time feature director,1
a frighteningly fascinating contradiction,1
"shame that stealing harvard is too busy getting in its own way to be anything but frustrating , boring , and forgettable",0
frida gets the job done .,1
because it made him feel powerful,1
writer-director ritchie reduces wertmuller 's social mores and politics to tiresome jargon .,0
rather cold-blooded comedy,0
` the ch teau is never quite able to overcome the cultural moat surrounding its ludicrous and contrived plot . ',0
by the time the credits roll across the pat ending,0
by its awkward structure and a final veering,0
"this bond film goes off the beaten path , not necessarily for the better .",0
